--- INICIO DO CALCULO DO NEURONIO ---
Tempo (ps) | Endereco | Dado (hex) | Peso (hex) | Acumulador
   5080000 |        0 |         22 |         7f |      0
   5110000 |        1 |         d8 |         28 |   4318
   5140000 |        2 |         89 |         dc |   2718
   5170000 |        3 |         cd |         f0 |   7002
   5200000 |        4 |         dd |         28 |   7818
   5230000 |        5 |         71 |         1b |   6418
   5260000 |        6 |         6f |         80 |   9469
   5290000 |        7 |         ed |         0f |  -4739
   5320000 |        8 |         72 |         23 |  -5024
   5350000 |        9 |         ee |         80 |  -1034
   5380000 |       10 |         77 |         e3 |   1270
   5410000 |       11 |         a5 |         3b |  -2181
   5440000 |       12 |         0d |         3f |  -7550
   5470000 |       13 |         c6 |         f6 |  -6731
   5500000 |       14 |         73 |         08 |  -6151
   5530000 |       15 |         3e |         d4 |  -5231
   5560000 |       16 |         c3 |         1a |  -7959
   5590000 |       17 |         c3 |         25 |  -9545
   5620000 |       18 |         03 |         a2 | -11802
   5650000 |       19 |         15 |         3c | -12084
   5680000 |       20 |         34 |         da | -10824
   5710000 |       21 |         99 |         80 | -12800
   5740000 |       22 |         99 |         44 |    384
   5770000 |       23 |         2d |         3a |  -6620
   5800000 |       24 |         99 |         80 |  -4010
   5830000 |       25 |         99 |         72 |   9174
   5860000 |       26 |         4f |         54 |  -2568
   5890000 |       27 |         7b |         e5 |   4068
   5920000 |       28 |         7b |         80 |    747
   5950000 |       29 |         a1 |         4c | -14997
   5980000 |       30 |         b9 |         0d | -22217
   6010000 |       31 |         90 |         01 | -23140
   6040000 |       32 |         90 |         bd | -23252
   6070000 |       33 |         78 |         c8 | -15748
   6100000 |       34 |         90 |         7f | -22468
   6130000 |       35 |         90 |         0b |  28844
   6160000 |       36 |         d5 |         08 |  27612
   6190000 |       37 |         69 |         03 |  27268
   6220000 |       38 |         04 |         fc |  27583
   6250000 |       39 |         ca |         d8 |  27567
   6280000 |       40 |         ca |         11 |  29727
   6310000 |       41 |         04 |         2b |  28809
   6340000 |       42 |         ca |         eb |  28981
   6370000 |       43 |         ca |         09 |  30115
   6400000 |       44 |         d0 |         14 |  29629
   6430000 |       45 |         e2 |         1b |  28669
   6460000 |       46 |         e4 |         fa |  27859
   6490000 |       47 |         5f |         ff |  28027
   6520000 |       48 |         10 |         0c |  27932
   6550000 |       49 |         10 |         10 |  28124
   6580000 |       50 |         5f |         02 |  28380
   6610000 |       51 |         10 |         00 |  28570
   6640000 |       52 |         10 |         0d |  28570
   6670000 |       53 |         7e |         ed |  28778
   6700000 |       54 |         9c |         13 |  26384
   6730000 |       55 |         9c |         09 |  24484
   6760000 |       56 |         8a |         0f |  23584
   6790000 |       57 |         52 |         e4 |  21814
   6820000 |       58 |         9c |         18 |  19518
