44b7 13ad 04dc 2c22
4f45 1c72 038e 2089
1276 06c0 023f 096f
0ce8 01ca 06ac 0972
179b 094d 0000 0aee
0f69 0344 172d 09a5
5f3a 2890 1b37 1e3e
4e3b 1840 16f8 2cc3
52d2 205c 081c 1b03
23c4 0c12 0647 0a34
1bb0 0974 0945 0f99
202c 0bf8 0000 0f4f
0dcd 03ca 106b 107b
1d85 0afc 1bf9 15a1
5763 1bb3 1bc7 2678
678d 2b77 0000 2b90
150f 072c 0bd2 0dd5
127f 033e 1123 1804
23f8 0b01 0659 19ca
3340 1265 1a76 1ad0
321c 1223 1b79 11e2
16a6 06c1 1413 1e5f
5db1 3020 1915 2810
7d47 2640 02cf 1d7e
1d4a 05dd 1032 1d9c
28f4 095a 1137 228a
3daf 14ad 16fc 242e
42ef 164d 0b0b 1a93
2572 0985 1ce6 1ea3
55c4 2b4a 136b 241d
7fff 3c7e 0699 2707
4260 17c8 08a9 100d
3197 0aed 1141 2974
4483 132b 0f9c 27d8
4c39 16b6 0c13 2347
4434 1406 06cf 2ab1
5cce 269e 0000 29ad
7fff 361c 3062 3872
69c5 2719 0bc6 1480
1b0b 0336 1309 215b
43f0 0e93 0a88 3101
5472 1762 05c9 32ad
4e49 17a9 032f 2cb8
58bd 24cf 0000 251d
7fff 419e 292b 4955
7ff6 30cd 0000 239e
2153 058f 145d 1eaa
2efb 07b1 0eba 2afb
60ab 1db9 0b1f 33ee
4f24 15b1 0159 3405
681f 2c94 044c 2dc7
529d 1a06 1e92 251a
7fff 371f 2c98 2b66
7fff 3eb0 168d 4353
22ad 0693 13e2 2896
400f 0d57 16bd 348f
52a4 148b 05ad 352f
68d7 23ff 0a09 3230
6691 24bd 0855 26e9
5ac3 2639 57a5 3ba7
7f8b 3041 1149 385e
71dc 2d2f 0055 10df
366b 094c 149c 3204
53d0 160a 1727 3461
5ff1 2065 103c 2de2
47b7 1179 1807 2b42
5811 22ff 4a28 35a4
6ccb 280e 0000 301e
6311 284b 01df 1365
1bca 05fb 0f79 1583
440e 144c 0def 2a93
43c2 1564 0fe7 25c4
55e4 1a52 216e 3326
565c 200f 0d8f 33fb
681c 26dd 0000 2c32
5558 1e3c 2852 2464
281c 0bf2 0a36 1838
