1a6a 1b96 0000 0000
160a 0907 0000 0000
02a0 0402 0000 0000
0349 0000 0215 0000
0000 0000 0817 0000
0000 0000 0dc2 0000
0000 0000 071f 0000
0000 0000 035a 0000
0000 0000 00c4 0000
0000 0000 0000 0000
0000 0000 00bc 0000
0000 0000 0041 0000
0000 0000 0098 0000
0000 0000 01ab 0000
0000 0000 044a 0000
0000 0aab 06b1 0000
0000 16af 07b1 0000
0000 11b7 0908 0000
0000 0000 093f 0000
0000 0000 0000 0000
0000 0000 0412 0000
0000 0000 0855 0000
0000 0000 0000 0000
0000 0cf7 0000 0000
0173 01f5 04cb 0000
0000 0000 0000 0000
0654 0000 0000 0000
05ac 0000 0000 0000
0672 0000 0000 0000
04db 0000 0000 0000
1e52 0fcc 0000 0000
0c27 038f 0000 0000
06b1 00b7 0000 0000
0168 0000 02ef 0000
0000 0000 0789 0000
0000 0000 08ce 0000
0000 0000 036a 0000
0000 0000 02ba 0000
0000 0000 0191 0000
0000 0000 0014 0000
0000 0000 0022 0068
0000 0000 0000 0072
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 007b 0000
0000 0000 024d 0000
0000 0f2a 0413 0000
0000 15cd 0934 0000
0000 052e 0937 0000
0000 0000 03d2 0000
01fe 0000 0000 0000
0000 0000 0000 0000
039e 0000 0000 0000
039c 070c 0000 0000
0000 0899 07de 0000
0000 029a 0000 0000
0000 0000 0179 0000
039b 0000 0000 0000
0000 0000 0000 0000
0240 0000 0000 0000
224e 09f1 0000 0000
0791 028d 0000 0000
0714 02df 0000 0000
00fb 0000 0293 0000
0000 0000 075b 0000
0000 0000 035f 0000
0000 0000 0273 0000
0000 0000 01f6 0000
0000 0000 0119 0000
0000 0000 0000 001b
0000 0000 0000 00f9
0000 0000 0000 00b1
0000 0000 0000 0059
0000 0000 0000 0062
0000 0000 0000 0000
0000 0000 00bb 0000
0000 0516 00ad 0000
0000 10bc 06b1 0000
0000 0e24 0c4a 0000
0000 012d 0938 0000
0000 0000 037a 0000
0217 0000 0000 0000
0000 0000 00e4 0000
022a 0000 0000 0000
0078 03ad 018a 0000
0000 0a61 0000 0000
0000 0000 038a 0000
0000 0000 0000 0000
0000 0000 004e 0000
0000 0000 0000 0000
172b 0766 0000 0000
023c 005c 000c 0000
00f8 0301 0000 0000
0045 0000 062a 0000
0000 0000 092c 0000
0000 0000 0255 0000
0000 0000 0080 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 00cc
0000 0000 0000 00c8
0000 0000 0000 0114
0000 0000 0000 00f8
0000 0000 0000 006c
0000 0000 005b 0017
0000 0000 0000 0000
0000 0610 02fa 0000
0000 0af0 08c9 0000
0000 0a04 0523 0000
0000 0000 0745 0000
0000 0000 0000 0000
0000 0000 0407 0000
0000 0000 037f 0000
0000 0579 0000 0000
0000 10c6 0205 0000
0000 014a 040f 0000
0000 0000 0000 0000
0761 0000 0000 0000
0668 0000 0000 0000
0d66 020b 0000 0000
02ce 0000 0000 0000
0537 0191 0000 0000
0000 0000 07e8 0000
0000 0000 0784 0000
0000 0000 0241 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 00b7
0000 0000 0000 012b
0000 0000 0000 01df
0000 0000 0000 01c2
0000 0000 0000 0160
0000 0000 0000 0134
0000 0000 0000 0000
0000 0000 01c2 0000
0000 0334 0477 0000
0000 0fd7 030e 0000
0000 0381 087c 0000
0000 0000 0445 0000
0000 0000 0000 0000
0000 0000 00f8 0000
009c 0000 0000 0000
02b4 09d9 0000 0000
0000 0a11 04c8 0000
0000 0000 007c 0000
01da 0000 0000 0000
04e2 0000 0000 0000
0643 0277 0000 0000
0392 0039 0000 0000
029c 0154 0000 0000
0000 0000 088e 0000
0000 0000 0340 0000
0000 0000 018e 0000
0000 0000 0000 0000
0000 0000 000d 0000
0000 0000 0000 0000
0000 0000 003f 0000
0000 0000 0023 008f
0000 0000 0000 0102
0000 0000 0000 01c3
0000 0000 0000 027b
0000 0000 0000 0222
0000 0000 0000 01a0
0000 0000 000a 00fb
0000 0000 0103 0000
0000 0000 03a4 0000
0000 0984 06d3 0000
0000 0a22 0a1d 0000
0000 03ac 00b3 0000
028a 0000 0000 0000
0c20 0000 0000 0000
0559 0000 0000 0000
0e1a 032b 0000 0000
06a2 0a65 0000 0000
02bc 019b 0087 0000
0a7f 0000 0000 0000
091a 0000 0000 0000
01a4 0296 0000 0000
0180 0177 015a 0000
0005 0000 0196 0000
0000 0000 0708 0000
0000 0000 0000 0000
0215 0000 0000 0000
0b19 0000 0000 0000
150a 0000 0000 0000
1551 0000 0000 00c9
1149 0000 0000 02a3
0816 0000 0000 02f2
019e 0000 0000 0214
0000 0000 0000 0248
0000 0000 0000 0360
0000 0000 0000 0313
0000 0000 0000 02b5
0000 0000 0000 024f
0000 0000 0000 018b
0000 0000 0000 0000
0123 0000 0000 0000
0725 0627 0000 0000
1096 06e5 0000 0000
0d27 0000 0000 0000
0df8 0000 0000 0000
0b8a 0000 0000 0000
0875 0000 0000 0000
0fce 0a36 0000 0000
01a9 0898 0000 0000
06e3 04f0 0000 0000
0b7a 0000 0000 0000
0696 0172 0000 0000
0366 0000 0224 0000
0000 0000 0000 0000
0000 0000 0330 0000
020c 0000 0000 0000
095d 0000 0000 0000
05b4 0000 0000 0000
016a 0000 0000 0000
08b0 0000 0000 0000
17fd 0000 0000 0000
2591 0000 0000 04b9
2249 0000 0000 0586
13b0 0000 0000 0541
04b1 0000 0000 038a
03fe 0000 0000 03eb
0310 0000 0000 035a
0272 0000 0000 0304
045f 0000 0000 01eb
0d5b 0000 0000 0012
1ba9 0000 0000 0000
2695 0000 0000 0000
1d27 0279 0000 0000
0822 0000 00fd 0000
0000 03e6 0000 0000
0655 0000 0000 0000
0000 0000 0000 0000
0383 05cc 0000 0000
082b 11ed 0000 0000
0144 081c 01c2 0000
0891 0000 0000 0000
05e7 0227 0000 0000
0314 0000 033d 0000
00b1 0000 0000 0000
0144 0000 0156 0000
0000 0000 0000 0000
0000 0000 04b3 0000
0000 0000 02ae 0000
0000 0000 0000 0000
050a 0000 0000 0000
0347 0000 0000 0000
00cc 0000 0000 0000
0740 0000 0000 0000
0ea2 0000 0000 06b8
0e56 0000 0000 044e
051b 0000 0000 039f
01c8 0000 0000 0345
01ab 0000 0000 0224
0719 0000 0000 0000
0c45 0000 0000 0000
0ba1 0944 0000 0000
05a3 0e33 0000 0000
0000 01c0 0768 0000
0000 0000 0000 0000
0016 0000 0000 0000
0560 0000 0000 0000
0506 0000 0000 0000
00b3 0000 0000 0000
10c0 13db 0000 0000
09d5 0940 0088 0000
0300 0000 0000 0000
05ba 01a5 0000 0000
0252 0000 0320 0000
0000 0000 0000 0000
00d2 0000 0378 0000
0000 0000 052a 0000
